,timestamp,open,high,low,close,volume,daily_return
0,2023-11-01,204.03,205.98,197.85,205.66,121131225,
1,2023-10-31,196.12,202.8,194.07,200.84,118068273,-2.343674025089948
2,2023-10-30,209.28,210.88,194.67,197.36,136448167,-1.7327225652260414
3,2023-10-27,210.6,212.41,205.77,207.3,94881173,5.036481556546413
4,2023-10-26,211.32,214.8,204.88,205.76,115112635,-0.742884708152447
5,2023-10-25,215.88,220.1,212.2,212.42,107065087,3.23678071539657
6,2023-10-24,216.5,222.05,214.11,216.52,118231113,1.9301384050466108
7,2023-10-23,210.0,216.98,202.51,212.08,150683368,-2.050618880472932
8,2023-10-20,217.01,218.8606,210.42,211.99,138010095,-0.04243681629574336
9,2023-10-19,225.95,230.61,216.78,220.11,170772713,3.830369357045149
10,2023-10-18,252.7,254.63,242.08,242.68,125147846,10.25396392712734
11,2023-10-17,250.1,257.183,247.08,254.85,93562909,5.014834349760999
12,2023-10-16,250.05,255.3999,248.48,253.92,88917176,-0.3649205414949952
13,2023-10-13,258.9,259.6,250.22,251.12,102296786,-1.1027095148078092
14,2023-10-12,262.92,265.41,256.6307,258.87,111508114,3.0861739407454625
15,2023-10-11,266.2,268.6,260.9,262.99,103706266,1.5915324294047295
16,2023-10-10,257.75,268.94,257.65,263.62,122656030,0.23955283470853406
17,2023-10-09,255.31,261.36,252.05,259.67,101377947,-1.4983688642743354
18,2023-10-06,253.98,261.65,250.65,260.53,118121812,0.3311895867831982
19,2023-10-05,260.0,263.6,256.25,260.05,119159214,-0.18423981883083362
20,2023-10-04,248.14,261.86,247.6,261.16,129721567,0.42684099211689475
21,2023-10-03,248.61,250.02,244.45,246.53,101985305,-5.601929851432086
22,2023-10-02,244.81,254.2799,242.62,251.6,123810402,2.0565448424126886
23,2023-09-29,250.0,254.77,246.35,250.22,128522729,-0.54848966613672
24,2023-09-28,240.02,247.55,238.65,246.38,117058870,-1.534649508432584
25,2023-09-27,244.262,245.33,234.58,240.5,136597184,-2.386557350434282
26,2023-09-26,242.98,249.55,241.6601,244.12,101993631,1.5051975051975086
27,2023-09-25,243.38,247.1,238.31,246.99,104636557,1.1756513190234408
28,2023-09-22,257.4,257.7888,244.48,244.88,127524083,-0.8542855986072406
29,2023-09-21,257.85,260.86,254.21,255.7,119951516,4.418490689317212
30,2023-09-20,267.04,273.93,262.4606,262.59,122514643,2.6945639421196654
31,2023-09-19,264.35,267.85,261.2,266.5,103704040,1.4890132906812958
32,2023-09-18,271.16,271.44,263.7601,265.28,101543305,-0.4577861163227115
33,2023-09-15,277.55,278.98,271.0,274.39,133692313,3.434107358262972
34,2023-09-14,271.32,276.7094,270.42,276.04,107709842,0.6013338678523494
35,2023-09-13,270.07,274.98,268.1,271.3,111673737,-1.7171424431241866
36,2023-09-12,270.76,278.39,266.6,267.48,135999866,-1.408035385182449
37,2023-09-11,264.27,274.85,260.61,273.58,174667852,2.2805443397637015
38,2023-09-08,251.22,256.52,246.67,248.5,118559635,-9.167336793625259
39,2023-09-07,245.07,252.81,243.265,251.49,115312886,1.2032193158953763
40,2023-09-06,255.135,255.39,245.06,251.92,116959759,0.17098095351701925
41,2023-09-05,245.0,258.0,244.86,256.49,129469565,1.814067958081944
42,2023-09-01,257.26,259.0794,242.01,245.01,132541640,-4.47580802370463
43,2023-08-31,255.98,261.18,255.05,258.08,108861698,5.3344761438308685
44,2023-08-30,254.2,260.51,250.59,256.9,121988437,-0.45722256664599836
45,2023-08-29,238.58,257.48,237.77,257.18,134047603,0.10899182561308063
46,2023-08-28,242.58,244.38,235.35,238.82,107673727,-7.138968815615532
47,2023-08-25,231.31,239.0,230.35,238.59,106612231,-0.09630684197302619
48,2023-08-24,238.66,238.92,228.1801,230.04,99777432,-3.583553376084503
49,2023-08-23,229.34,238.98,229.29,236.86,101077635,2.964701790992885
50,2023-08-22,240.25,240.82,229.55,233.19,130597886,-1.5494384868698918
51,2023-08-21,221.5512,232.1343,220.58,231.28,135702671,-0.8190745743814065
52,2023-08-18,214.12,217.58,212.36,215.49,136276584,-6.827222414389478
53,2023-08-17,226.06,226.74,218.83,219.22,120718417,1.730938790663128
54,2023-08-16,228.02,233.97,225.38,225.6,112484520,2.9103184016056938
55,2023-08-15,238.73,240.5,232.61,232.96,88197599,3.2624113475177463
56,2023-08-14,235.7,240.66,233.75,239.76,98595331,2.9189560439560447
57,2023-08-11,241.77,243.79,238.02,242.65,99038642,1.205372038705388
58,2023-08-10,245.4,251.8,243.0,245.34,109498608,1.1085926231197085
59,2023-08-09,250.87,251.1,241.9,242.19,101596324,-1.2839325018341952
60,2023-08-08,247.45,250.92,245.01,249.7,96642183,3.100871216813239
61,2023-08-07,251.45,253.6511,242.76,251.45,111097943,0.7008410092110617
62,2023-08-04,260.97,264.77,253.11,253.86,99539907,0.9584410419566591
63,2023-08-03,252.04,260.49,252.0,259.32,97829545,2.1507917749940875
64,2023-08-02,255.57,259.52,250.49,254.11,101752865,-2.009100724973001
65,2023-08-01,266.26,266.47,260.25,261.07,83645720,2.7389713116366954
66,2023-07-31,267.48,269.08,263.78,267.43,84582172,2.4361282414678165
67,2023-07-28,259.86,267.25,258.2312,266.44,111446026,-0.3701903301798648
68,2023-07-27,268.31,269.13,255.3,255.71,103697263,-4.027173097132564
69,2023-07-26,263.25,268.04,261.75,264.35,95856177,3.3788275781158505
70,2023-07-25,272.38,272.9,265.0,265.28,112757327,0.35180631738223056
71,2023-07-24,255.85,269.85,254.12,269.06,137005037,1.4249095295536973
72,2023-07-21,268.0,268.0,255.8,260.02,161796073,-3.359845387645888
73,2023-07-20,279.56,280.93,261.2,262.9,175158273,1.1076071071455917
74,2023-07-19,296.04,299.29,289.5201,291.26,142355353,10.78737162419172
75,2023-07-18,290.15,295.26,286.01,293.34,112434713,0.7141385703495207
76,2023-07-17,286.625,292.23,283.57,290.38,131569593,-1.0090679757278176
77,2023-07-14,277.01,285.3,276.31,281.38,120062369,-3.0993870101246657
78,2023-07-13,274.59,279.45,270.6,277.9,112681458,-1.236761674603748
79,2023-07-12,276.325,276.52,271.46,271.99,95672139,-2.126664267722189
